Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,GS%,Salary_Rank
Mike Conley,48,48,29.8,5.6,12.6,.444,2.7,6.7,.409,2.9,5.9,.482,2.4,2.7,.863,0.7,2.6,3.3,6.0,1.4,0.2,2.0,2.0,16.3,NBA,  UTH,G, 32 ,"$30,521,116  ",30521116.0,0.00412,1.0,23
Kyle Lowry,42,42,34.7,5.5,12.8,.428,2.6,7.0,.379,2.8,5.8,.488,3.1,3.5,.878,0.8,4.8,5.5,7.2,1.0,0.3,2.8,3.1,16.7,NBA,  TOR,G, 34 ,"$30,500,000  ",30500000.0,0.00412,1.0,24
Kevin Love,17,17,23.1,4.0,9.9,.402,2.1,6.2,.343,1.9,3.8,.500,1.6,2.1,.778,0.7,5.7,6.4,2.2,0.5,0.1,1.4,0.9,11.8,NBA,  CLE,F, 32 ,"$30,100,543  ",30100543.0,0.00407,1.0,25
Gordon Hayward,44,44,34.0,7.1,15.0,.473,1.9,4.7,.415,5.1,10.3,.499,3.5,4.2,.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,NBA,  CHA,F, 30 ,"$30,000,000  ",30000000.0,0.00405,1.0,26
Joel Embiid,41,41,32.1,9.4,18.4,.513,1.2,3.1,.375,8.3,15.3,.541,9.9,11.7,.851,2.3,8.8,11.1,3.1,1.0,1.4,3.2,2.4,30.0,NBA,  PHI,C, 26 ,"$29,542,010  ",29542010.0,0.00399,1.0,27
Andrew Wiggins,61,61,33.0,6.8,14.5,.471,2.0,5.1,.382,4.9,9.3,.520,2.4,3.4,.697,1.0,3.8,4.8,2.3,1.0,1.0,1.8,2.2,18.0,NBA,  GSW,F, 25 ,"$29,542,010  ",29542010.0,0.00399,1.0,28
Nikola Jokic,60,60,35.3,10.3,18.2,.568,1.4,3.3,.405,9.0,14.8,.604,4.3,5.0,.853,2.9,8.0,10.9,8.7,1.4,0.7,3.1,2.7,26.2,NBA,  DEN,C, 25 ,"$29,542,010  ",29542010.0,0.00399,1.0,29
D'Angelo Russell,31,19,27.7,6.8,15.5,.441,2.9,7.1,.407,3.9,8.4,.469,2.7,3.4,.800,0.4,2.1,2.5,4.9,1.0,0.4,2.7,1.7,19.3,NBA,  MIN,G, 24 ,"$29,331,375  ",29331375.0,0.00396,0.6129032258064516,30
Damian Lillard,55,55,36.0,8.8,20.3,.434,4.0,10.7,.374,4.8,9.6,.501,6.8,7.3,.923,0.5,3.7,4.2,7.5,0.9,0.3,3.1,1.6,28.4,NBA,  POR,G, 30 ,"$27,977,689  ",27977689.0,0.00378,1.0,31
DeMar DeRozan,50,50,34.0,7.3,14.9,.492,0.4,1.4,.257,7.0,13.5,.516,6.2,7.0,.883,0.8,3.7,4.4,7.2,0.9,0.3,2.0,2.0,21.2,NBA,  SAS,G, 31 ,"$27,800,000  ",27800000.0,0.00376,1.0,32
Al Horford,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,NBA,  OKC,F, 34 ,"$27,250,000  ",27250000.0,0.00368,1.0,33
Jaylen Brown,54,54,34.2,9.3,18.8,.493,2.7,6.8,.402,6.6,12.0,.545,3.2,4.2,.757,1.2,4.6,5.8,3.4,1.2,0.5,2.7,2.9,24.4,NBA,  BOS,G, 23 ,"$26,583,334  ",26583334.0,0.00359,1.0,34
Rudy Gobert,59,59,31.1,5.5,8.2,.671,0.0,0.1,.000,5.5,8.1,.675,3.4,5.5,.618,3.4,10.2,13.6,1.3,0.5,2.8,1.6,2.4,14.4,NBA,  UTH,C, 28 ,"$25,500,000  ",25500000.0,0.00345,1.0,35
Bradley Beal,51,51,35.5,11.0,22.6,.484,2.2,6.4,.351,8.7,16.3,.536,7.0,7.7,.899,1.2,3.7,4.8,4.6,1.2,0.4,3.3,2.4,31.1,NBA,  WAS,G, 27 ,"$25,434,263  ",25434263.0,0.00344,1.0,36
Jrue Holiday,48,45,31.9,6.8,13.5,.506,1.9,4.6,.399,5.0,8.8,.563,1.7,2.1,.810,1.2,3.3,4.5,5.7,1.8,0.5,2.1,1.6,17.2,NBA,  MIL,G, 30 ,"$25,200,000  ",25200000.0,0.00341,0.9375,37
Giannis Antetokounmpo,51,51,33.6,10.3,18.1,.568,1.1,3.6,.301,9.2,14.5,.633,6.8,10.0,.682,1.7,9.7,11.4,6.0,1.2,1.3,3.6,2.7,28.5,NBA,  MIL,F, 25 ,"$25,000,000  ",25000000.0,0.00338,1.0,38
Nikola Vucevic,61,61,33.5,9.7,19.8,.488,2.6,6.2,.413,7.1,13.6,.523,2.0,2.4,.833,2.0,9.3,11.3,3.8,1.0,0.7,1.8,1.9,23.9,NBA,  CHI,C, 29 ,"$25,000,000  ",25000000.0,0.00338,1.0,39
Steven Adams,56,56,28.0,3.4,5.4,.620,0.0,0.1,.000,3.4,5.4,.627,1.1,2.4,.444,3.8,5.2,9.0,1.9,0.9,0.7,1.4,2.0,7.8,NBA,  NOP,C, 27 ,"$25,000,000  ",25000000.0,0.00338,1.0,40
Draymond Green,53,53,30.9,2.5,6.0,.422,0.5,2.1,.248,2.0,4.0,.512,1.0,1.3,.779,0.9,5.9,6.8,8.8,1.6,0.8,3.0,3.1,6.6,NBA,  GSW,F, 30 ,"$24,916,591  ",24916591.0,0.00337,1.0,41
Buddy Hield,59,59,34.4,5.7,14.0,.408,4.0,10.4,.390,1.7,3.7,.461,1.2,1.5,.839,0.4,4.1,4.5,3.1,0.8,0.4,1.7,2.6,16.7,NBA,  SAC,G, 27 ,"$23,500,000  ",23500000.0,0.00318,1.0,42
Harrison Barnes,57,57,36.5,5.5,11.1,.494,1.7,4.4,.385,3.8,6.7,.566,3.4,4.1,.828,1.1,5.5,6.6,3.5,0.8,0.2,1.6,1.3,16.0,NBA,  SAC,F, 28 ,"$21,250,000  ",21250000.0,0.00287,1.0,43
Fred VanVleet,47,47,36.1,6.4,16.4,.394,3.3,9.0,.372,3.1,7.4,.421,3.4,3.8,.888,0.6,3.6,4.1,6.2,1.7,0.8,1.9,2.4,19.6,NBA,  TOR,G, 26 ,"$21,250,000  ",21250000.0,0.00287,1.0,44
Malcolm Brogdon,54,54,35.0,8.1,17.8,.457,2.7,6.7,.396,5.5,11.1,.494,2.7,3.1,.863,1.1,4.2,5.3,6.0,0.9,0.3,2.1,2.0,21.6,NBA,  IND,G, 27 ,"$21,250,000  ",21250000.0,0.00287,1.0,45
Victor Oladipo,33,33,32.7,7.1,17.5,.408,2.4,7.2,.326,4.8,10.2,.466,3.2,4.2,.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8,NBA,  MIA,G, 28 ,"$21,250,000  ",21250000.0,0.00287,1.0,46
Gary Harris,27,26,29.3,3.5,8.7,.404,1.2,3.6,.337,2.3,5.1,.453,1.7,2.2,.783,0.6,1.6,2.2,1.9,0.8,0.3,0.8,1.9,10.0,NBA,  ORL,G, 26 ,"$21,000,000  ",21000000.0,0.00284,0.9629629629629629,47
Julius Randle,60,60,37.5,8.5,18.3,.462,2.2,5.3,.416,6.3,13.0,.481,4.9,6.1,.805,1.3,9.2,10.5,6.0,1.0,0.3,3.5,3.2,24.0,NBA,  NYK,F, 25 ,"$20,700,000  ",20700000.0,0.0028,1.0,48
Danilo Gallinari,41,4,23.9,4.0,9.5,.425,2.1,5.2,.407,1.9,4.2,.448,3.3,3.6,.938,0.3,3.8,4.0,1.4,0.5,0.2,0.9,2.1,13.5,NBA,  ATL,F, 32 ,"$20,475,000  ",20475000.0,0.00277,0.0975609756097561,49
Jerami Grant,52,52,34.2,7.5,17.4,.429,2.2,6.2,.354,5.3,11.3,.470,5.4,6.3,.852,0.7,4.0,4.7,2.9,0.7,1.1,2.0,2.4,22.6,NBA,  DET,F, 26 ,"$20,002,500  ",20002500.0,0.0027,1.0,50
Myles Turner,47,47,31.0,4.4,9.2,.477,1.5,4.4,.335,2.9,4.8,.606,2.4,3.0,.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6,NBA,  IND,C, 24 ,"$20,000,000  ",20000000.0,0.0027,1.0,51
Aaron Gordon,40,40,28.3,4.8,10.5,.462,1.4,3.9,.353,3.5,6.6,.527,2.2,3.3,.654,1.5,4.5,6.0,3.6,0.7,0.7,2.2,1.8,13.2,NBA,  DEN,F, 25 ,"$20,000,000  ",20000000.0,0.0027,1.0,52
Zach LaVine,53,53,35.2,9.8,19.4,.506,3.4,8.2,.416,6.4,11.2,.572,4.4,5.2,.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5,NBA,  CHI,G, 25 ,"$19,500,000  ",19500000.0,0.00264,1.0,53
Terry Rozier,57,57,34.0,7.5,16.1,.465,3.3,8.3,.403,4.1,7.8,.530,2.3,2.8,.825,0.5,3.7,4.2,4.1,1.3,0.4,1.9,1.8,20.6,NBA,  CHA,G, 26 ,"$18,900,000  ",18900000.0,0.00255,1.0,54
Eric Gordon,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,NBA,  HOU,G, 31 ,"$18,893,589  ",18893589.0,0.00255,0.48148148148148145,55
