Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Andrew Wiggins,59,59,32.9,6.8,14.5,0.472,2,5.2,0.379,4.9,9.3,0.524,2.4,3.5,0.701,1,3.8,4.8,2.3,1,0.9,1.8,2.2,18.1,NBA,  GSW,F,25,29542010,0.00399,27
D'Angelo Russell,30,19,27.6,6.8,15.4,0.441,2.9,7,0.412,3.9,8.4,0.464,2.7,3.3,0.8,0.4,2.1,2.5,5.1,1,0.4,2.8,1.8,19.2,NBA,  MIN,G,24,29331375,0.00396,28
Damian Lillard,53,53,35.9,8.8,20.2,0.439,4,10.8,0.375,4.8,9.4,0.511,6.8,7.4,0.926,0.5,3.7,4.2,7.6,0.9,0.3,3.2,1.6,28.6,NBA,  POR,G,30,27977689,0.00378,29
DeMar DeRozan,49,49,33.9,7.3,14.8,0.492,0.4,1.4,0.269,6.9,13.4,0.515,6.1,6.9,0.879,0.7,3.7,4.4,7.1,0.9,0.3,1.9,2,21,NBA,  SAS,G,31,27800000,0.00376,30
Al Horford,28,28,27.9,5.8,12.9,0.45,2,5.4,0.368,3.8,7.4,0.51,0.6,0.8,0.818,1,5.7,6.7,3.4,0.9,0.9,1,1.7,14.2,NBA,  OKC,F,34,27250000,0.00368,31
Jaylen Brown,53,53,34.2,9.3,18.8,0.496,2.7,6.8,0.404,6.6,12,0.548,3.2,4.2,0.754,1.2,4.6,5.8,3.4,1.2,0.5,2.7,2.9,24.5,NBA,  BOS,G,23,26583334,0.00359,32
Rudy Gobert,58,58,31,5.5,8.2,0.673,0,0.1,0,5.5,8.2,0.677,3.4,5.6,0.615,3.4,10.2,13.6,1.3,0.5,2.8,1.6,2.4,14.5,NBA,  UTH,C,28,25500000,0.00345,33
Bradley Beal,49,49,35.4,10.9,22.6,0.482,2.2,6.4,0.343,8.7,16.2,0.538,7,7.8,0.898,1.1,3.7,4.8,4.7,1.2,0.3,3.2,2.4,31,NBA,  WAS,G,27,25434263,0.00344,34
Jrue Holiday,45,42,31.9,6.9,13.6,0.506,1.9,4.7,0.404,5,8.8,0.56,1.7,2,0.837,1.3,3.2,4.5,5.5,1.8,0.5,2.1,1.7,17.4,NBA,  MIL,G,30,25200000,0.00341,35
Giannis Antetokounmpo,48,48,33.7,10.4,18.4,0.564,1.1,3.6,0.297,9.3,14.7,0.63,6.8,9.8,0.688,1.7,9.4,11.2,6,1.1,1.3,3.7,2.8,28.5,NBA,  MIL,F,25,25000000,0.00338,36
